,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
113,https://nuforc.org//sighting/?id=179408,11/14/2023 23:00,Chicago,IL,USA,Cigar,"I saw a cigar shaped saucer with four lights on the underbelly of the craft, and a blue haze was being emitted from the underbelly.",,,
114,https://nuforc.org//sighting/?id=179404,11/13/2023 20:20,Cheyenne,WY,USA,Light,Saw a light go from dim to very bright,,,
115,https://nuforc.org//sighting/?id=179384,11/13/2023 15:34,Milan,IN,USA,Triangle,Triangle black craft,,,
116,https://nuforc.org//sighting/?id=179350,11/12/2023 18:55,Nixon,PA,USA,Disk,Driving at night and saw a green lit object drop down and zoom off,,,
117,https://nuforc.org//sighting/?id=179360,11/11/2023 22:40,Slippery Rock,PA,USA,Triangle,Triangle shaped craft that moved like nothing I’ve ever seen.,,,
118,https://nuforc.org//sighting/?id=179474,11/11/2023 21:30,Lakeland,FL,USA,Triangle,I saw a HUGE triangle craft with at least 7 bright white lights in a perfect “V” at the front and no lights on the backend of it,,,
119,https://nuforc.org//sighting/?id=179394,11/11/2023 20:04,Midvale,UT,USA,Light,Unidentified lights flying above.,,Y,
120,https://nuforc.org//sighting/?id=179353,11/11/2023 18:30,Windham,ME,USA,Rectangle,Floating rectangle with 3 lights,,,
121,https://nuforc.org//sighting/?id=179308,11/10/2023 06:13,Denver,CO,USA,Orb,"Basketball sized ball of light, about the same brightness as a flood light flying low and slow.",,,
122,https://nuforc.org//sighting/?id=179306,11/09/2023 20:15,,KY,USA,Light,"Lighted objects ""dancing"" and performing seemingly impossible aeronautic maneuvers",,,
123,https://nuforc.org//sighting/?id=179369,11/09/2023 09:45,Topeka,KS,USA,Disk,There was a black but yet reflective basic saucer shaped UAP.,,,
124,https://nuforc.org//sighting/?id=179417,11/09/2023 06:45,Elkin,NC,USA,Disk,A silver metallic disc rising vertically from the ground.,,,
125,https://nuforc.org//sighting/?id=179325,11/08/2023 20:08,Wimberley,TX,USA,Orb,Large helicopter chasing an amber glowing orb,,,
126,https://nuforc.org//sighting/?id=179367,11/08/2023 04:28,Hartford,CT,USA,Orb,Craft swooped down fast & floated with bright white rotating lights & 2 beams of light darting around & on & off,,,
127,https://nuforc.org//sighting/?id=179330,11/06/2023 22:30,Blairsville,GA,USA,Triangle,Triangle craft with green lights gliding through sky,,,
128,https://nuforc.org//sighting/?id=179534,11/05/2023 20:28,Hamilton,NJ,USA,Orb,"Object was briefly stationary, before traveling in an apparent fish hook shape. Then vanished.",,Y,
